Code de la commune ou de l’arrondissement;Nom de la commune ou de l’arrondissement;Préfixe (cadastre);Section (cadastre);Numéro de plan (cadastre);Numéro de voirie (parcelle);Indice de répétition (parcelle);Code MAJIC de la voie (parcelle);Code Rivoli de la voie (parcelle);Nature de la voie (parcelle);Nom de la voie (parcelle);Contenance (parcelle);Subdivision fiscale (parcelle);Code de la nature de culture (SUF);Contenance (SUF);Numéro MAJIC du propriétaire;Numéro SIREN du propriétaire;Code du groupe de la personne morale (propriétaire);Code de la forme juridique (propriétaire);Dénomination (propriétaire);Adresse;Point géographique;Signification du code du droit (propriétaire du local ou de la parcelle);Groupe de la personne morale (propriétaire);label_forme_juridique_proprietaire;Nature de culture;MORALE
16357;SAINT-VALLIER;;C;1283;;;00107;B107;;LA PEROTRIE;1633;;BT;1633;P9999Y;412280737;9;5599;SNCF RESEAU;LA PEROTRIE;45.045323, 5.050494;Propriétaire;;SA à conseil d'administration (s.a.i.);Taillis simples;163570C1283
21341;LANTILLY;;B;0371;0002;;00096;0360;PL;DU POIGET;500;;S;500;PBCXGL;212103410;4;7490;COMMUNE DE LANTILLY;0002  PL DU POIGET;47.545194, 4.375961;Propriétaire;Commune;Autre personne morale de droit administratif;Sols;213410B0371
21050;BAUBIGNY;;ZK;0255;;;00046;B046;;DERRIERE EVELLE;147580;M;VI;67747;PBCPZ9;423447879;0;6534;DES 3 ROCHES;DERRIERE EVELLE;46.97765, 4.688928;Propriétaire;Personnes morales non remarquables;Groupement foncier agricole;Vignes;21050ZK0255
16385;TOUVRE;;AB;0094;0038;;00101;0079;RTE;DE MONTBRON;9817;;S;9817;PBBHDS;651820177;0;5710;SOC INDUST DIVERSES APPLIC CAOUTCHOUC;0038  RTE DE MONTBRON;45.664407, 0.246608;Propriétaire;Personnes morales non remarquables;SAS, société par actions simplifiée;Sols;16385AB0094
21021;ARC-SUR-TILLE;;AH;0104;0005;;00216;0093;IMP;DE LA CURE;748;;S;748;PBB3DV;212100218;4;7210;COMMUNE DARC-SUR-TILLE;0005  IMP DE LA CURE;47.341847, 5.192597;Propriétaire;Commune;Commune et commune nouvelle;Sols;21021AH0104
21231;DIJON;;DK;0053;0037;;00758;4190;RUE;DE L ILE;1092;;S;1092;PBBK76;328401963;0;5710;CABINET EVEN DU FOU;0037  RUE DE L ILE;47.312922, 5.029723;Syndic de copropriété;Personnes morales non remarquables;SAS, société par actions simplifiée;Sols;21231DK0053
16204;BELLEVIGNE;417;A;0335;;;00543;B539;;COMBE A BOURNAT;710;;BT;710;PBBVNL;322043423;0;5499;JEAN DAUDIN ET FILS;COMBE A BOURNAT;45.540536, -0.106146;Propriétaire;Personnes morales non remarquables;Société à responsabilité limitée (sans autre indication);Taillis simples;162040A0335
21349;LIERNAIS;;AB;0152;;;00209;B209;;LE GRAND PRE;3344;;S;3344;PBC4Q3;212103493;4;7210;COMMUNE DE LIERNAIS;LE GRAND PRE;47.208385, 4.275006;Propriétaire;Commune;Commune et commune nouvelle;Sols;21349AB0152
21166;CHENOVE;;AH;0229;0007;;00097;0910;RUE;EDOUARD HERRIOT;80;;S;80;PBBB2F;212101661;4;7210;COMMUNE DE CHENOVE;0007  RUE EDOUARD HERRIOT;47.292446, 5.006847;Propriétaire;Commune;Commune et commune nouvelle;Sols;21166AH0229
16185;LIGNE;;D;0611;;;00030;B030;;ENFOURNARDS;3780;C;BT;1890;PBCG3V;U28272039;0;9900;PROPRIETAIRES DU BND 185 D0611;ENFOURNARDS;46.469162, 5.899044;Propriétaire;Personnes morales non remarquables;Autre personne morale de droit privé;Taillis simples;161850D0611
21120;LA BUSSIERE SUR OUCHE;;AP;0003;;;00045;B045;;COMBERAINBEUF LE HAUT;187694;BK;PA;45888;PBCK9T;U14150081;0;6599;GFA DE LA POURRIE;COMBERAINBEUF LE HAUT;47.226244, 4.714187;Propriétaire;Personnes morales non remarquables;Autre société civile;Pâtures ou Pâturages;21120AP0003
21607;SEURRE;;AK;0041;;;00016;B016;;CURTILS DES ARCHERS EST;58;;S;58;PBDMWK;212106074;4;7210;COMMUNE DE SEURRE;CURTILS DES ARCHERS EST;47.000547, 5.155421;Propriétaire;Commune;Commune et commune nouvelle;Sols;21607AK0041
16369;SIGOGNE;;D;0551;;;00099;B099;;LE PARC;14305;;VI;14305;PBCM8D;512878984;0;6598;CD VERAL;LE PARC;45.735133, -0.160114;Propriétaire;Personnes morales non remarquables;Exploitation agricole à responsabilité limitée;Vignes;163690D0551
21223;DAIX;;AE;0006;;;00026;B026;;LES CHAMPS VIAUX;15;;S;15;PBCFHW;U11320439;1;9900;MINISTERE ECOLOGIE ENERGIE DEVELOP DURABLE AMENAGEMENT TERRI;LES CHAMPS VIAUX;47.34909, 4.998249;Gérant, mandataire, gestionnaire;État;Autre personne morale de droit privé;Sols;21223AE0006
21228;DETAIN-ET-BRUANT;;E;0077;;;00012;B012;;EN BROUTE CHOUX;5085;;BS;5085;PBBB23;212102289;4;7210;COMMUNE DE DETAIN ET BRUANT;EN BROUTE CHOUX;47.157952, 4.845875;Propriétaire;Commune;Commune et commune nouvelle;Taillis sous Futaies;212280E0077
16418;VOEUIL-ET-GIGET;;B;0915;;;00029;B029;;LA COMBE;350;;AB;350;PBBBNQ;211604186;4;7210;COMMUNE DE VOEUIL ET GIGET;LA COMBE;45.598879, 0.151514;Propriétaire;Commune;Commune et commune nouvelle;Terrains à bâtir;164180B0915
21231;DIJON;;HL;0403;0007;;00594;3115;BD;EUGENE SPULLER;1016;;S;1016;PBBK7F;310308424;0;5499;AGENCE BOUILLER;0007  BD EUGENE SPULLER;47.328194, 5.030246;Syndic de copropriété;Personnes morales non remarquables;Société à responsabilité limitée (sans autre indication);Sols;21231HL0403
21116;BURE-LES-TEMPLIERS;;A;0103;;;00137;B137;;LA LONGUE ROIE;129610;;T;129610;PBDVHM;827642810;0;6534;GROUPEMENT FONCIER AGRICOLE DE CONCLOIS;LA LONGUE ROIE;47.738033, 4.895536;Propriétaire;Personnes morales non remarquables;Groupement foncier agricole;Terre;211160A0103
16187;LINARS;;AE;0074;;;00082;B082;;PRES JOLIS;1366;;T;1366;P9999Y;412280737;9;5599;SNCF RESEAU;PRES JOLIS;45.651672, 0.075343;Propriétaire;;SA à conseil d'administration (s.a.i.);Terre;16187AE0074
21133;CHAMBOLLE-MUSIGNY;;AL;0085;;;00062;B062;;LES PAS DE CHATS;820;;VI;820;PBBNK9;343567632;0;6534;GFA COTE DE NUITS;LES PAS DE CHATS;47.18676, 4.957308;Propriétaire;Personnes morales non remarquables;Groupement foncier agricole;Vignes;21133AL0085
21222;CUSSY-LE-CHATEL;;ZH;0025;;;00026;B026;;LA CORVEE;3330;;S;3330;PBB24Z;378610703;0;6317;COOPERATIVE AGRICOLE DIJON CEREALES;LA CORVEE;47.1648, 4.583766;Propriétaire;Personnes morales non remarquables;Société coopérative agricole;Sols;21222ZH0025
