Code du département;Code direction;Code de la commune ou de l’arrondissement;Nom de la commune ou de l’arrondissement;Préfixe (cadastre);Section (cadastre);Numéro de plan (cadastre);Numéro de voirie (parcelle);Indice de répétition (parcelle);Code MAJIC de la voie (parcelle);Code Rivoli de la voie (parcelle);Nature de la voie (parcelle);Nom de la voie (parcelle);Contenance (parcelle);Subdivision fiscale (parcelle);Code de la nature de culture (SUF);Contenance (SUF);Code du droit exercé par le propriétaire (parcelle);Numéro MAJIC du propriétaire;Numéro SIREN du propriétaire;Code du groupe de la personne morale (propriétaire);Code de la forme juridique (propriétaire);Abréviation de la forme juridique (propriétaire);Dénomination (propriétaire);Année;Adresse;Point géographique;Signification du code du droit (propriétaire du local ou de la parcelle);Groupe de la personne morale (propriétaire);label_forme_juridique_proprietaire;Nature de culture;Code Officiel EPCI;Nom Officiel EPCI;Code Officiel Région;Nom Officiel Région;Nom Officiel Département
21;0;21050;BAUBIGNY;;ZK;0255;;;00046;B046;;DERRIERE EVELLE;147580;M;VI;67747;P;PBCPZ9;423447879;0;6534;GFA;DES 3 ROCHES;2020;DERRIERE EVELLE;46.97765, 4.688928;Propriétaire;Personnes morales non remarquables;Groupement foncier agricole;Vignes;200006682;CA Beaune,Côte et Sud - Communauté Beaune-Chagny-Nolay;27;Bourgogne-Franche-Comté;Côte-d'Or
16;0;16385;TOUVRE;;AB;0094;0038;;00101;0079;RTE;DE MONTBRON;9817;;S;9817;P;PBBHDS;651820177;0;5710;SAS;SOC INDUST DIVERSES APPLIC CAOUTCHOUC;2020;0038  RTE DE MONTBRON;45.664407, 0.246608;Propriétaire;Personnes morales non remarquables;SAS, société par actions simplifiée;Sols;200071827;CA du Grand Angoulême;75;Nouvelle-Aquitaine;Charente
21;0;21021;ARC-SUR-TILLE;;AH;0104;0005;;00216;0093;IMP;DE LA CURE;748;;S;748;P;PBB3DV;212100218;4;7210;COM;COMMUNE DARC-SUR-TILLE;2020;0005  IMP DE LA CURE;47.341847, 5.192597;Propriétaire;Commune;Commune et commune nouvelle;Sols;200069540;CC Norge et Tille;27;Bourgogne-Franche-Comté;Côte-d'Or
21;0;21231;DIJON;;DK;0053;0037;;00758;4190;RUE;DE L ILE;1092;;S;1092;S;PBBK76;328401963;0;5710;SAS;CABINET EVEN DU FOU;2020;0037  RUE DE L ILE;47.312922, 5.029723;Syndic de copropriété;Personnes morales non remarquables;SAS, société par actions simplifiée;Sols;242100410;Dijon Métropole;27;Bourgogne-Franche-Comté;Côte-d'Or
16;0;16204;BELLEVIGNE;417;A;0335;;;00543;B539;;COMBE A BOURNAT;710;;BT;710;P;PBBVNL;322043423;0;5499;SARL;JEAN DAUDIN ET FILS;2020;COMBE A BOURNAT;45.540536, -0.106146;Propriétaire;Personnes morales non remarquables;Société à responsabilité limitée (sans autre indication);Taillis simples;200070514;CA du Grand Cognac;75;Nouvelle-Aquitaine;Charente
21;0;21349;LIERNAIS;;AB;0152;;;00209;B209;;LE GRAND PRE;3344;;S;3344;P;PBC4Q3;212103493;4;7210;COM;COMMUNE DE LIERNAIS;2020;LE GRAND PRE;47.208385, 4.275006;Propriétaire;Commune;Commune et commune nouvelle;Sols;200071173;CC du Pays Arnay Liernais;27;Bourgogne-Franche-Comté;Côte-d'Or
21;0;21166;CHENOVE;;AH;0229;0007;;00097;0910;RUE;EDOUARD HERRIOT;80;;S;80;P;PBBB2F;212101661;4;7210;COM;COMMUNE DE CHENOVE;2020;0007  RUE EDOUARD HERRIOT;47.292446, 5.006847;Propriétaire;Commune;Commune et commune nouvelle;Sols;242100410;Dijon Métropole;27;Bourgogne-Franche-Comté;Côte-d'Or
16;0;16185;LIGNE;;D;0611;;;00030;B030;;ENFOURNARDS;3780;C;BT;1890;P;PBCG3V;U28272039;0;9900;;PROPRIETAIRES DU BND 185 D0611;2020;ENFOURNARDS;46.469162, 5.899044;Propriétaire;Personnes morales non remarquables;Autre personne morale de droit privé;Taillis simples;200072023;CC Cœur de Charente;75;Nouvelle-Aquitaine;Charente
21;0;21120;LA BUSSIERE SUR OUCHE;;AP;0003;;;00045;B045;;COMBERAINBEUF LE HAUT;187694;BK;PA;45888;P;PBCK9T;U14150081;0;6599;SC;GFA DE LA POURRIE;2020;COMBERAINBEUF LE HAUT;47.226244, 4.714187;Propriétaire;Personnes morales non remarquables;Autre société civile;Pâtures ou Pâturages;200071207;CC de Pouilly-en-Auxois/Bligny-sur-Ouche;27;Bourgogne-Franche-Comté;Côte-d'Or
21;0;21607;SEURRE;;AK;0041;;;00016;B016;;CURTILS DES ARCHERS EST;58;;S;58;P;PBDMWK;212106074;4;7210;COM;COMMUNE DE SEURRE;2020;CURTILS DES ARCHERS EST;47.000547, 5.155421;Propriétaire;Commune;Commune et commune nouvelle;Sols;242101509;CC Rives de Saône;27;Bourgogne-Franche-Comté;Côte-d'Or
16;0;16369;SIGOGNE;;D;0551;;;00099;B099;;LE PARC;14305;;VI;14305;P;PBCM8D;512878984;0;6598;EARL;CD VERAL;2020;LE PARC;45.735133, -0.160114;Propriétaire;Personnes morales non remarquables;Exploitation agricole à responsabilité limitée;Vignes;200070514;CA du Grand Cognac;75;Nouvelle-Aquitaine;Charente
21;0;21223;DAIX;;AE;0006;;;00026;B026;;LES CHAMPS VIAUX;15;;S;15;G;PBCFHW;U11320439;1;9900;;MINISTERE ECOLOGIE ENERGIE DEVELOP DURABLE AMENAGEMENT TERRI;2020;LES CHAMPS VIAUX;47.34909, 4.998249;Gérant, mandataire, gestionnaire;État;Autre personne morale de droit privé;Sols;242100410;Dijon Métropole;27;Bourgogne-Franche-Comté;Côte-d'Or
21;0;21228;DETAIN-ET-BRUANT;;E;0077;;;00012;B012;;EN BROUTE CHOUX;5085;;BS;5085;P;PBBB23;212102289;4;7210;COM;COMMUNE DE DETAIN ET BRUANT;2020;EN BROUTE CHOUX;47.157952, 4.845875;Propriétaire;Commune;Commune et commune nouvelle;Taillis sous Futaies;200070894;CC de Gevrey-Chambertin et de Nuits-Saint-Georges;27;Bourgogne-Franche-Comté;Côte-d'Or
16;0;16418;VOEUIL-ET-GIGET;;B;0915;;;00029;B029;;LA COMBE;350;;AB;350;P;PBBBNQ;211604186;4;7210;COM;COMMUNE DE VOEUIL ET GIGET;2020;LA COMBE;45.598879, 0.151514;Propriétaire;Commune;Commune et commune nouvelle;Terrains à bâtir;200071827;CA du Grand Angoulême;75;Nouvelle-Aquitaine;Charente
21;0;21231;DIJON;;HL;0403;0007;;00594;3115;BD;EUGENE SPULLER;1016;;S;1016;S;PBBK7F;310308424;0;5499;SARL;AGENCE BOUILLER;2020;0007  BD EUGENE SPULLER;47.328194, 5.030246;Syndic de copropriété;Personnes morales non remarquables;Société à responsabilité limitée (sans autre indication);Sols;242100410;Dijon Métropole;27;Bourgogne-Franche-Comté;Côte-d'Or
21;0;21116;BURE-LES-TEMPLIERS;;A;0103;;;00137;B137;;LA LONGUE ROIE;129610;;T;129610;P;PBDVHM;827642810;0;6534;GFA;GROUPEMENT FONCIER AGRICOLE DE CONCLOIS;2020;LA LONGUE ROIE;47.738033, 4.895536;Propriétaire;Personnes morales non remarquables;Groupement foncier agricole;Terre;242101434;CC du Pays Châtillonnais;27;Bourgogne-Franche-Comté;Côte-d'Or
16;0;16187;LINARS;;AE;0074;;;00082;B082;;PRES JOLIS;1366;;T;1366;P;P9999Y;412280737;9;5599;SA;SNCF RESEAU;2020;PRES JOLIS;45.651672, 0.075343;Propriétaire;;SA à conseil d'administration (s.a.i.);Terre;200071827;CA du Grand Angoulême;75;Nouvelle-Aquitaine;Charente
21;0;21133;CHAMBOLLE-MUSIGNY;;AL;0085;;;00062;B062;;LES PAS DE CHATS;820;;VI;820;P;PBBNK9;343567632;0;6534;GFA;GFA COTE DE NUITS;2020;LES PAS DE CHATS;47.18676, 4.957308;Propriétaire;Personnes morales non remarquables;Groupement foncier agricole;Vignes;200070894;CC de Gevrey-Chambertin et de Nuits-Saint-Georges;27;Bourgogne-Franche-Comté;Côte-d'Or
21;0;21222;CUSSY-LE-CHATEL;;ZH;0025;;;00026;B026;;LA CORVEE;3330;;S;3330;P;PBB24Z;378610703;0;6317;SCA;COOPERATIVE AGRICOLE DIJON CEREALES;2020;LA CORVEE;47.1648, 4.583766;Propriétaire;Personnes morales non remarquables;Société coopérative agricole;Sols;200071173;CC du Pays Arnay Liernais;27;Bourgogne-Franche-Comté;Côte-d'Or
